Animal,Country,Year,Population
Elephant(African),Africa,1500,26000000
Elephant(African),Africa,1913,10000000
Elephant(African),Africa,1979,1300000
Elephant(African),Africa,1995,286233
Elephant(African),Africa,1998,301733
Elephant(African),Africa,2002,402047
Elephant(African),Africa,2007,472269
Elephant(African),Africa,2013,426293
Elephant(African),Africa,2015,415428
Elephant(African),Angola,2007,818
Elephant(African),Angola,2015,3396
Elephant(African),Benin,2007,1223
Elephant(African),Benin,2015,2984
Elephant(African),Botswana,2007,133829
Elephant(African),Botswana,2015,131626
Elephant(African),Burkina Faso,2007,4154
Elephant(African),Burkina Faso,2015,6850
Elephant(African),Cameroon,2007,179
Elephant(African),Cameroon,2015,6830
Elephant(African),Central Africa,1995,7320
Elephant(African),Central Africa,1998,7322
Elephant(African),Central Africa,2002,16450
Elephant(African),Central Africa,2007,10383
Elephant(African),Central Africa,2013,18980
Elephant(African),Central Africa,2015,24119
Elephant(African),Central African Republic,2007,109
Elephant(African),Central African Republic,2015,702
Elephant(African),Chad,2007,3885
Elephant(African),Chad,2015,794
Elephant(African),Cote d'Ivoire,2007,188
Elephant(African),Cote d'Ivoire,2015,189
Elephant(African),Democratic Republic of Congo,2007,2447
Elephant(African),Democratic Republic of Congo,2015,1794
Elephant(African),Eastern Africa,1995,90482
Elephant(African),Eastern Africa,1998,83770
Elephant(African),Eastern Africa,2002,117716
Elephant(African),Eastern Africa,2007,137485
Elephant(African),Eastern Africa,2013,99751
Elephant(African),Eastern Africa,2015,86373
Elephant(African),Equatorial Guinea,2015,884
Elephant(African),Eritrea,2007,96
Elephant(African),Eswatini,2007,31
Elephant(African),Ethiopia,2007,634
Elephant(African),Ethiopia,2015,1017
Elephant(African),Gabon,2007,1523
Elephant(African),Gabon,2015,7058
Elephant(African),Ghana,2007,789
Elephant(African),Ghana,2015,994
Elephant(African),Guinea,2007,135
Elephant(African),Kenya,2007,23353
Elephant(African),Kenya,2015,22809
Elephant(African),Liberia,2015,124
Elephant(African),Malawi,2007,185
Elephant(African),Malawi,2015,1307
Elephant(African),Mali,2007,357
Elephant(African),Mali,2015,253
Elephant(African),Mozambique,2007,14079
Elephant(African),Mozambique,2015,10884
Elephant(African),Namibia,2007,12531
Elephant(African),Namibia,2015,22754
Elephant(African),Niger,2007,85
Elephant(African),Nigeria,2007,348
Elephant(African),Nigeria,2015,94
Elephant(African),Rwanda,2007,34
Elephant(African),Rwanda,2015,88
Elephant(African),Senegal,2007,1
Elephant(African),Senegal,2015,1
Elephant(African),South Africa,2007,17847
Elephant(African),South Africa,2015,18841
Elephant(African),South Sudan,2015,7130
Elephant(African),Southern Africa,1995,170837
Elephant(African),Southern Africa,1998,196845
Elephant(African),Southern Africa,2002,246592
Elephant(African),Southern Africa,2007,297718
Elephant(African),Southern Africa,2013,297603
Elephant(African),Southern Africa,2015,293447
Elephant(African),Sudan,2007,20
Elephant(African),Tanzania,2007,108816
Elephant(African),Tanzania,2015,50433
Elephant(African),Togo,2007,4
Elephant(African),Uganda,2007,2337
Elephant(African),Uganda,2015,4923
Elephant(African),Western Africa,1995,2760
Elephant(African),Western Africa,1998,2489
Elephant(African),Western Africa,2002,5458
Elephant(African),Western Africa,2007,7487
Elephant(African),Western Africa,2013,9959
Elephant(African),Western Africa,2015,11489
Elephant(African),Zambia,2007,16562
Elephant(African),Zambia,2015,21967
Elephant(African),Zimbabwe,2007,84416
Elephant(African),Zimbabwe,2015,82630
Elephant(Asian),Bangladesh,2017,268
Elephant(Asian),Bhutan,2010,513
Elephant(Asian),Cambodia,2016,500
Elephant(Asian),China,1976,146
Elephant(Asian),China,1983,225
Elephant(Asian),China,1997,216
Elephant(Asian),China,2003,230
Elephant(Asian),China,2006,189
Elephant(Asian),China,2009,197
Elephant(Asian),China,2014,232
Elephant(Asian),China,2017,300
Elephant(Asian),India,1980,15627
Elephant(Asian),India,1985,18975
Elephant(Asian),India,1989,20862
Elephant(Asian),India,1993,15604
Elephant(Asian),India,1997,25877
Elephant(Asian),India,2002,26413
Elephant(Asian),India,2007,27694
Elephant(Asian),India,2012,29391
Elephant(Asian),India,2017,27312
Elephant(Asian),Indonesia,2007,2600
Elephant(Asian),Indonesia,2012,1724
Elephant(Asian),Laos,2012,700
Elephant(Asian),Malaysia,2010,1223
Elephant(Asian),Myanmar,2017,2000
Elephant(Asian),Nepal,1903,328
Elephant(Asian),Nepal,1913,234
Elephant(Asian),Nepal,1923,198
Elephant(Asian),Nepal,1933,199
Elephant(Asian),Nepal,1943,180
Elephant(Asian),Nepal,1953,136
Elephant(Asian),Nepal,1963,80
Elephant(Asian),Nepal,1973,47
Elephant(Asian),Sri Lanka,2010,5879
Elephant(Asian),Thailand,2017,3100
Elephant(Asian),Vietnam,1980,1750
Elephant(Asian),Vietnam,1992,500
Elephant(Asian),Vietnam,1995,280
Elephant(Asian),Vietnam,1997,165
Elephant(Asian),Vietnam,2000,100
Elephant(Asian),Vietnam,2016,101
Panda,,2000,
